Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Quantidade compra;Valor de Compra;Unidade de Medida;Bandeira;Nota atendimento
NE;BA;ILHEUS;IVAN COELHO PORTO & IRMAOS LTDA; 13.322.102/0001-75;RUA A ROD ILHEUS OLIVENCA;SN;KM 0;SAO FRANCISCO;45650-780;GASOLINA ADITIVADA;01/01/2022;7,05;500;3,40;R$ / litro;BRANCA;5
NE;BA;ILHEUS;IVAN COELHO PORTO & IRMAOS LTDA; 13.322.102/0001-75;RUA A ROD ILHEUS OLIVENCA;SN;KM 0;SAO FRANCISCO;45650-780;DIESEL S10;01/01/2022;5,97;500;5,10;R$ / litro;BRANCA;5
NE;BA;SALVADOR;JSM COMBUSTIVEIS LTDA; 04.730.440/0001-55;RUA SILVEIRA MARTINS;3197;;CABULA;41150-000;GASOLINA;01/01/2022;6,55;500;4,60;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;JSM COMBUSTIVEIS LTDA; 04.730.440/0001-55;RUA SILVEIRA MARTINS;3197;;CABULA;41150-000;ETANOL;01/01/2022;5,29;500;3,40;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;JSM COMBUSTIVEIS LTDA; 04.730.440/0001-55;RUA SILVEIRA MARTINS;3197;;CABULA;41150-000;GASOLINA ADITIVADA;01/01/2022;6,85;500;5,10;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;JSM COMBUSTIVEIS LTDA; 04.730.440/0001-55;RUA SILVEIRA MARTINS;3197;;CABULA;41150-000;DIESEL S10;01/01/2022;5,69;500;4,80;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;PELICANO COM. DE COMBUSTÍVEIS, LUBRIF. E SERVIÇOS LTDA.; 07.303.716/0001-07;RUA SILVEIRA MARTINS;2912;;CABULA;41815-060;GASOLINA;01/01/2022;6,47;500;4,95;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PELICANO COM. DE COMBUSTÍVEIS, LUBRIF. E SERVIÇOS LTDA.; 07.303.716/0001-07;RUA SILVEIRA MARTINS;2912;;CABULA;41815-060;ETANOL;01/01/2022;5,29;500;4,60;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PELICANO COM. DE COMBUSTÍVEIS, LUBRIF. E SERVIÇOS LTDA.; 07.303.716/0001-07;RUA SILVEIRA MARTINS;2912;;CABULA;41815-060;GASOLINA ADITIVADA;01/01/2022;6,47;500;3,40;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PETROMERC DERIVADOS DE PETROLEO LTDA.; 03.562.365/0009-55;AVENIDA SUBURBANA;S/N;AV. AFRANIO PEIXOTO;ITACARANHA;40713-580;GASOLINA;01/01/2022;6,51;500;5,10;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PETROMERC DERIVADOS DE PETROLEO LTDA.; 03.562.365/0009-55;AVENIDA SUBURBANA;S/N;AV. AFRANIO PEIXOTO;ITACARANHA;40713-580;ETANOL;01/01/2022;5,29;500;6,98;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PETROMERC DERIVADOS DE PETROLEO LTDA.; 03.562.365/0009-55;AVENIDA SUBURBANA;S/N;AV. AFRANIO PEIXOTO;ITACARANHA;40713-580;GASOLINA ADITIVADA;01/01/2022;6,51;500;6,08;R$ / litro;BRANCA;5
NE;BA;SALVADOR;PETROMERC DERIVADOS DE PETROLEO LTDA.; 03.562.365/0009-55;AVENIDA SUBURBANA;S/N;AV. AFRANIO PEIXOTO;ITACARANHA;40713-580;DIESEL S10;01/01/2022;5,39;500;7,08;R$ / litro;BRANCA;5
NE;BA;SALVADOR;ALBATROZ COMERCIO DE COMBUSTIVEIS, LUBRIFICANTES E SERVICOS DE LAVAGEM LTDA; 07.236.761/0001-96;AVENIDA AFRANIO PEIXOTO;600;;LOBATO;40470-630;GASOLINA;01/01/2022;6,51;500;6,13;R$ / litro;BRANCA;5
NE;BA;SALVADOR;ALBATROZ COMERCIO DE COMBUSTIVEIS, LUBRIFICANTES E SERVICOS DE LAVAGEM LTDA; 07.236.761/0001-96;AVENIDA AFRANIO PEIXOTO;600;;LOBATO;40470-630;ETANOL;01/01/2022;5,29;500;6,87;R$ / litro;BRANCA;5
NE;BA;SALVADOR;ALBATROZ COMERCIO DE COMBUSTIVEIS, LUBRIFICANTES E SERVICOS DE LAVAGEM LTDA; 07.236.761/0001-96;AVENIDA AFRANIO PEIXOTO;600;;LOBATO;40470-630;GASOLINA ADITIVADA;01/01/2022;6,51;500;5,99;R$ / litro;BRANCA;5
NE;BA;SALVADOR;ALBATROZ COMERCIO DE COMBUSTIVEIS, LUBRIFICANTES E SERVICOS DE LAVAGEM LTDA; 07.236.761/0001-96;AVENIDA AFRANIO PEIXOTO;600;;LOBATO;40470-630;DIESEL S10;01/01/2022;5,43;500;6,87;R$ / litro;BRANCA;5
NE;BA;SALVADOR;R-1 COMERCIO DE COMBUSTIVEIS LTDA; 06.068.831/0001-81;AVENIDA ULYSSES GUIMARAES;1454;POSTO DE GASOLINA;SUSSUARANA;41213-000;GASOLINA;01/01/2022;6,54;500;5,99;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;R-1 COMERCIO DE COMBUSTIVEIS LTDA; 06.068.831/0001-81;AVENIDA ULYSSES GUIMARAES;1454;POSTO DE GASOLINA;SUSSUARANA;41213-000;ETANOL;01/01/2022;5,29;500;6,97;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;R-1 COMERCIO DE COMBUSTIVEIS LTDA; 06.068.831/0001-81;AVENIDA ULYSSES GUIMARAES;1454;POSTO DE GASOLINA;SUSSUARANA;41213-000;GASOLINA ADITIVADA;01/01/2022;6,74;500;6,1;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;R-1 COMERCIO DE COMBUSTIVEIS LTDA; 06.068.831/0001-81;AVENIDA ULYSSES GUIMARAES;1454;POSTO DE GASOLINA;SUSSUARANA;41213-000;DIESEL S10;01/01/2022;5,49;500;6,07;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;GASOLINA;01/01/2022;6,89;500;4,95;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;ETANOL;01/01/2022;5,29;500;4,60;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;GASOLINA ADITIVADA;01/01/2022;7,19;500;3,40;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;DIESEL S10;01/01/2022;5,67;500;5,10;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;POSTO KALILANDIA LTDA; 15.151.046/0012-31;AVENIDA LUIS VIANA;2489;;PERNAMBUES;41130-530;GNV;01/01/2022;3,99;500;4,60;R$ / m³;RAIZEN;8
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GASOLINA;01/01/2022;6,55;500;3,40;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;ETANOL;01/01/2022;5,29;500;5,10;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GASOLINA ADITIVADA;01/01/2022;6,59;500;4,80;R$ / litro;VIBRA ENERGIA;5
NE;BA;SALVADOR;PLUS BRASIL COMERCIO E REPRESENTACOES LTDA; 04.674.977/0001-45;AVENIDA GENERAL SAN MARTIN;1387;GL;FAZENDA GRANDE DO RETIRO;40354-185;GNV;01/01/2022;4,09;500;4,95;R$ / m³;VIBRA ENERGIA;5
NE;BA;SALVADOR;COELHO COMERCIO DE COMBUSTIVEIS LTDA; 15.621.824/0002-37;RUA NILO PECANHA;113;;CALCADA;40411-380;GASOLINA;01/01/2022;6,51;500;4,60;R$ / litro;BRANCA;5
NE;BA;SALVADOR;COELHO COMERCIO DE COMBUSTIVEIS LTDA; 15.621.824/0002-37;RUA NILO PECANHA;113;;CALCADA;40411-380;ETANOL;01/01/2022;5,25;500;3,40;R$ / litro;BRANCA;5
NE;BA;SALVADOR;COELHO COMERCIO DE COMBUSTIVEIS LTDA; 15.621.824/0002-37;RUA NILO PECANHA;113;;CALCADA;40411-380;GASOLINA ADITIVADA;01/01/2022;6,51;500;5,10;R$ / litro;BRANCA;5
NE;BA;SALVADOR;GAS ON LINE - COMÉRCIO E SERVIÇOS LTDA.; 05.033.611/0001-50;AVENIDA HEITOR DIAS DA SILVA;735;;PAU MIÚDO;40315-518;GASOLINA;01/01/2022;6,65;500;6,98;R$ / litro;IPIRANGA;5
NE;BA;SALVADOR;GAS ON LINE - COMÉRCIO E SERVIÇOS LTDA.; 05.033.611/0001-50;AVENIDA HEITOR DIAS DA SILVA;735;;PAU MIÚDO;40315-518;ETANOL;01/01/2022;5,65;500;6,51;R$ / litro;IPIRANGA;5
NE;BA;SALVADOR;GAS ON LINE - COMÉRCIO E SERVIÇOS LTDA.; 05.033.611/0001-50;AVENIDA HEITOR DIAS DA SILVA;735;;PAU MIÚDO;40315-518;GASOLINA ADITIVADA;01/01/2022;6,75;500;5,43;R$ / litro;IPIRANGA;5
NE;BA;SALVADOR;GAS ON LINE - COMÉRCIO E SERVIÇOS LTDA.; 05.033.611/0001-50;AVENIDA HEITOR DIAS DA SILVA;735;;PAU MIÚDO;40315-518;DIESEL S10;01/01/2022;5,79;500;6,54;R$ / litro;IPIRANGA;5
NE;BA;SALVADOR;GAS ON LINE - COMÉRCIO E SERVIÇOS LTDA.; 05.033.611/0001-50;AVENIDA HEITOR DIAS DA SILVA;735;;PAU MIÚDO;40315-518;GNV;01/01/2022;3,99;500;5,29;R$ / m³;IPIRANGA;5
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;GASOLINA;01/01/2022;6,99;500;6,74;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;ETANOL;01/01/2022;5,67;500;5,49;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;DIESEL;01/01/2022;5,69;500;6,89;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;GASOLINA ADITIVADA;01/01/2022;7,29;500;5,29;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;GRL ORGANIZACAO REVENDEDORA DE COMBUSTIVEIS, LUBRIFICANTES LTDA; 40.511.529/0002-75;ESTRADA CAMPINAS PIRAJA;1;": LOTEAMENTO JARDIM;";CAMPINAS DE PIRAJA;41270-000;DIESEL S10;01/01/2022;5,77;500;7,19;R$ / litro;RAIZEN;8
NE;BA;SALVADOR;COELHO, MENDES & SILVA LTDA; 15.211.436/0001-05;AVENIDA SAN MARTIN;S/N;;RETIRO;40360-840;GASOLINA;01/01/2022;6,51;500;5,67;R$ / litro;BRANCA;5
NE;BA;SALVADOR;COELHO, MENDES & SILVA LTDA; 15.211.436/0001-05;AVENIDA SAN MARTIN;S/N;;RETIRO;40360-840;ETANOL;01/01/2022;5,25;500;3,99;R$ / litro;BRANCA;5
